vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp
20171116;1006;X   ;016366027    ;0001;0000
20171116;1006;X   ;016366027    ;0001;0000
20171117;0852;E   ;016366027    ;0001;0000
20171117;0852;E   ;016366027    ;0001;0000
20171121;1050;E   ;016366027    ;0001;0000
20171121;1050;E   ;016366027    ;0001;0000
20171124;1148;E   ;016366027    ;0001;0000
20171124;1148;E   ;016366027    ;0001;0000
20171125;0948;L   ;016366027    ;0001;0000
20171125;1120;M   ;016366027    ;0006;0000
20171128;1021;E   ;016366027    ;0001;0000
20171128;1021;E   ;016366027    ;0001;0000
20171128;1606;X   ;016366027    ;0003;0000
20171201;1055;H   ;016366027    ;0001;0000
20171201;1055;H   ;016366027    ;0001;0000
20171213;1054;H   ;016366027    ;0001;0000
20171213;1054;H   ;016366027    ;0001;0000
20171213;1054;H   ;016366027    ;0001;0000
20171213;1054;H   ;016366027    ;0001;0000
20171213;1054;H   ;016366027    ;0001;0000
20171213;1054;H   ;016366027    ;0001;0000
20171220;1715;L   ;016366027    ;0001;0000
20171224;1039;E   ;016366027    ;0001;0000
20171224;1039;E   ;016366027    ;0001;0000
20171228;1219;T   ;016366027    ;0001;0000
20180104;1058;H   ;016366027    ;0001;0000
20180104;1058;H   ;016366027    ;0001;0000
20180109;0953;X   ;016366027    ;0001;0000
20180109;0953;X   ;016366027    ;0001;0000
20180109;1126;T   ;016366027    ;0001;0000
20180109;1126;T   ;016366027    ;0001;0000
20180111;0945;X   ;016366027    ;0001;0000
20180111;0945;X   ;016366027    ;0001;0000
20180111;0945;X   ;016366027    ;0001;0000
20180115;1025;X   ;016366027    ;0001;0000
20180115;1025;X   ;016366027    ;0001;0000
20180115;1025;X   ;016366027    ;0001;0000
20180122;1719;X   ;016366027    ;0001;0000
20180122;1719;X   ;016366027    ;0001;0000
20180122;1719;X   ;016366027    ;0001;0000
20180125;1710;T   ;016366027    ;0001;0000
20180125;1710;T   ;016366027    ;0001;0000
