vb.vb-key.vb-data;vb.vb-ora;vb.vb-dati.vb-tipo-v;vb.vb-dati.vb-codice-minsan;vb.vb-dati.vb-qta;vb.vb-dati.vb-dati-sospeso.vb-qta-sosp;vb.vb-dati-anagrafici-prodotto.vb-principio-attivo;vb.vb-dati-anagrafici-prodotto.vb-gmk;vb.vb-dati-anagrafici-prodotto.vb-bd-category
20010831;1816;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010903;0900;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010903;1000;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010903;1011;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010903;1215;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010904;0929;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010904;1005;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010904;1021;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010904;1111;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010904;1138;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1009;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1054;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1107;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1113;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1146;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1522;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1552;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1614;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1827;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010905;1830;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010906;0944;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010906;1026;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010906;1027;L   ;004763114    ;0002;0000;000000;M0230                         ;A0420030101
20010906;1145;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010906;1750;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010906;1812;L   ;004763114    ;0002;0000;000000;M0230                         ;A0420030101
20010907;0858;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;0906;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;0928;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;0928;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;0954;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;0957;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;1002;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;1027;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;1049;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
20010907;1049;L   ;004763114    ;0001;0000;000000;M0230                         ;A0420030101
